keyword,ai_overview,fecha_utc,mercado
sexionary,Si,2026-08-26T15:49:42+00:00,Argentina / es / mobile
dolphin futsal,No,2026-08-26T15:49:42+00:00,Argentina / es / mobile
cava philco,Si,2026-08-26T15:50:02+00:00,Argentina / es / mobile
t go,No,2026-08-26T15:50:02+00:00,Argentina / es / mobile
mueble recibidor,No,2026-08-26T15:50:25+00:00,Argentina / es / mobile
dove shampoo y acondicionador,No,2026-08-26T15:50:25+00:00,Argentina / es / mobile
máscara nasal para cpap,No,2026-08-26T15:50:52+00:00,Argentina / es / mobile
juguete deadpool muñeco,No,2026-08-26T15:50:52+00:00,Argentina / es / mobile
bicicleta avelino rodado 29,No,2026-08-26T15:51:35+00:00,Argentina / es / mobile
calefaccion electrica,No,2026-08-26T15:51:35+00:00,Argentina / es / mobile
mopa giratoria,No,2026-08-26T17:52:06+00:00,Argentina / es / mobile
mochila con ruedas para niños,No,2026-08-26T17:54:38+00:00,Argentina / es / mobile
omron 7121,Si,2026-08-26T17:54:38+00:00,Argentina / es / mobile
compresor para auto portatil,No,2026-08-26T17:54:38+00:00,Argentina / es / mobile
porta algodon para bebe,No,2026-08-26T17:55:08+00:00,Argentina / es / mobile
sierra de banco stanley,No,2026-08-26T17:55:08+00:00,Argentina / es / mobile
tv sony bravia 50 pulgadas,Si,2026-08-26T17:55:08+00:00,Argentina / es / mobile
zapatillas rusty,No,2026-08-26T17:55:42+00:00,Argentina / es / mobile
set de ollas tramontina turim 7 piezas,No,2026-08-26T17:55:42+00:00,Argentina / es / mobile
preservision areds 2,Si,2026-08-26T17:55:42+00:00,Argentina / es / mobile
auto robot,Si,2026-08-26T17:56:10+00:00,Argentina / es / mobile
juguete pistola suprabond,Si,2026-08-26T17:56:10+00:00,Argentina / es / mobile
inguinal taekwondo,Si,2026-08-26T17:56:10+00:00,Argentina / es / mobile
disco pc,Si,2026-08-26T17:57:03+00:00,Argentina / es / mobile
gorra disney,Si,2026-08-26T17:57:03+00:00,Argentina / es / mobile
placard 5 puertas,No,2026-08-26T17:57:03+00:00,Argentina / es / mobile
plancha winco a vapor,No,2026-08-26T17:57:37+00:00,Argentina / es / mobile
bateria g31,No,2026-08-26T17:57:37+00:00,Argentina / es / mobile
victrix pro bfg,No,2026-08-26T17:57:37+00:00,Argentina / es / mobile
kit tromen,Si,2026-08-26T17:58:04+00:00,Argentina / es / mobile
cargador de bateria black and decker,No,2026-08-26T17:58:04+00:00,Argentina / es / mobile
valija frozen,No,2026-08-26T17:58:04+00:00,Argentina / es / mobile
tendedero de ropa,No,2026-08-26T17:58:35+00:00,Argentina / es / mobile
cerave protector solar,No,2026-08-26T17:58:35+00:00,Argentina / es / mobile
bateria j7 2016,No,2026-08-26T17:58:35+00:00,Argentina / es / mobile
muñeca baby alive con pelo,No,2026-08-26T17:59:08+00:00,Argentina / es / mobile
adidas tensaur niño,No,2026-08-26T17:59:08+00:00,Argentina / es / mobile
camara osmo,No,2026-08-26T17:59:08+00:00,Argentina / es / mobile
zapatilla,No,2026-08-26T17:59:41+00:00,Argentina / es / mobile
colchones suavestar 1 plaza,No,2026-08-26T17:59:41+00:00,Argentina / es / mobile
planchita babyliss,No,2026-08-26T17:59:41+00:00,Argentina / es / mobile
cubierta 2.75 17 trasera,No,2026-08-26T18:00:10+00:00,Argentina / es / mobile
hot wheels bmw,No,2026-08-26T18:00:10+00:00,Argentina / es / mobile
bicicleta de paseo rodado 26,No,2026-08-26T18:00:10+00:00,Argentina / es / mobile
gafa eternity m210,No,2026-08-26T18:00:38+00:00,Argentina / es / mobile
bandolera porta celular,No,2026-08-26T18:00:38+00:00,Argentina / es / mobile
tapa de inodoro,No,2026-08-26T18:00:38+00:00,Argentina / es / mobile
almohadilla termica cervical silfab,No,2026-08-26T18:01:25+00:00,Argentina / es / mobile
peavey bandit 112,Si,2026-08-26T18:01:25+00:00,Argentina / es / mobile
juguete coche paraguita,Si,2026-08-26T18:01:25+00:00,Argentina / es / mobile
adipower legend,No,2026-08-26T18:02:46+00:00,Argentina / es / mobile
galaxy active 2,Si,2026-08-26T18:02:46+00:00,Argentina / es / mobile
mochila amayra,No,2026-08-26T18:02:46+00:00,Argentina / es / mobile
luz led exterior solar,Si,2026-08-26T18:03:37+00:00,Argentina / es / mobile
nitro red,No,2026-08-26T18:03:37+00:00,Argentina / es / mobile
gps tracker,No,2026-08-26T18:03:37+00:00,Argentina / es / mobile
juguete practicuna para bebe,Si,2026-08-26T23:27:56+00:00,Argentina / es / mobile
pelota de voley wilson,No,2026-08-26T23:27:56+00:00,Argentina / es / mobile
microondas samsung 32 litros,No,2026-08-26T23:27:56+00:00,Argentina / es / mobile
valvula descarga mochila capea,No,2026-08-26T23:29:44+00:00,Argentina / es / mobile
lusqtoff racing,Si,2026-08-26T23:29:44+00:00,Argentina / es / mobile
bad boy cobalt,No,2026-08-26T23:29:44+00:00,Argentina / es / mobile
auto dinosaurio,No,2026-08-26T23:30:13+00:00,Argentina / es / mobile
camicletas y pata patas,Si,2026-08-26T23:30:13+00:00,Argentina / es / mobile
pau d'arco,No,2026-08-26T23:30:13+00:00,Argentina / es / mobile
noblex smart box,Si,2026-08-26T23:30:30+00:00,Argentina / es / mobile
billetera mujer,No,2026-08-26T23:30:30+00:00,Argentina / es / mobile
pelopincho 4500 litros,No,2026-08-26T23:30:30+00:00,Argentina / es / mobile
irrigador bucal gadnic,No,2026-08-26T23:30:47+00:00,Argentina / es / mobile
gato hidraulico 2 toneladas,No,2026-08-26T23:30:47+00:00,Argentina / es / mobile
muñeca lol omg serie 4,No,2026-08-26T23:30:47+00:00,Argentina / es / mobile
bicicleta rodado 29 talle m,No,2026-08-26T23:31:44+00:00,Argentina / es / mobile
kohinoor,Si,2026-08-26T23:31:44+00:00,Argentina / es / mobile
zapatillas talle 25,No,2026-08-26T23:31:44+00:00,Argentina / es / mobile
e20 modulo,Si,2026-08-26T23:32:01+00:00,Argentina / es / mobile
secador de pelo gama diamond ceramic,Si,2026-08-26T23:32:01+00:00,Argentina / es / mobile
moto 110,No,2026-08-26T23:32:01+00:00,Argentina / es / mobile
autos de juguete y accesorios,Si,2026-08-26T23:32:34+00:00,Argentina / es / mobile
motomel 90,No,2026-08-26T23:32:34+00:00,Argentina / es / mobile
drone phantom,Si,2026-08-26T23:32:34+00:00,Argentina / es / mobile
mochila alpine skate 40 litros,No,2026-08-26T23:33:03+00:00,Argentina / es / mobile
alacena de baño colgante,No,2026-08-26T23:33:03+00:00,Argentina / es / mobile
perfume joy dior,Si,2026-08-26T23:33:03+00:00,Argentina / es / mobile
parlantes y subwoofers,Si,2026-08-26T23:33:32+00:00,Argentina / es / mobile
muñeca barbie colorada,Si,2026-08-26T23:33:32+00:00,Argentina / es / mobile
bicicleta randers rodado 29,No,2026-08-26T23:33:32+00:00,Argentina / es / mobile
tv admiral 55 pulgadas,No,2026-08-26T23:33:48+00:00,Argentina / es / mobile
montagne road 5,No,2026-08-26T23:33:48+00:00,Argentina / es / mobile
bomba centrifuga lusqtoff,No,2026-08-26T23:33:48+00:00,Argentina / es / mobile
secador modelador,No,2026-08-26T23:34:08+00:00,Argentina / es / mobile
neumaticos,No,2026-08-26T23:34:08+00:00,Argentina / es / mobile
aire comprimido 5 y medio,No,2026-08-26T23:34:08+00:00,Argentina / es / mobile
